,Perimeter,Eccentricity,Extent,Solidity,roundness,Compactness,ShapeFactor2,ShapeFactor4,y,Unnamed: 0,x1,x2,x3,y_pred
216,1082.9679999999998,0.8199177599099804,0.7675648073052777,0.9875682778522108,0.8213755396004842,0.7556181636527037,0.0010845770595921,0.9973404978202924,CALI,216.0,6.313073,-10.159491,-3.78942,BARBUNYA
304,751.828,0.6925408883013443,0.7054083372075004,0.9865388783201292,0.9107887026302196,0.8470905230795598,0.0020902677006752,0.994709756013771,SIRA,304.0,-3.5491736,5.438581,2.9026492,DERMASON
1118,905.5739999999998,0.805638828187442,0.6749211801797562,0.9850789835164836,0.8791326184435103,0.7657453312281414,0.0013047932004868,0.9898024356953584,HOROZ,1118.0,3.06044,-0.02076795,-4.5502877,SIRA
1156,744.37,0.765705170237917,0.6934859836094404,0.9892626878402448,0.8943179744404819,0.8007398755355155,0.001799613661001,0.99687904173765,DERMASON,1156.0,0.87953556,4.134813,0.06523053,SIRA
1157,972.177,0.792361857804675,0.7339851024208566,0.9818464891795112,0.8384954168822927,0.7782673325734835,0.0013065633441168,0.9928672580088804,CALI,1157.0,6.523282,-5.5528336,-4.633139,BARBUNYA
1224,742.108,0.7585143879485278,0.7409004010945759,0.9897346019028542,0.9019915139400088,0.8060014959033704,0.0018330696141166,0.996903458294268,SIRA,1224.0,-0.90178585,1.716484,1.9856737,DERMASON
1297,680.4229999999999,0.778937553866553,0.7526633120268371,0.9887740821248846,0.9012981024646556,0.7905693554660703,0.0018873240238528,0.996648722863268,SIRA,1297.0,1.690542,1.4378499,4.657388,DERMASON
1349,700.355,0.6519057232718334,0.7557525773195877,0.9904077386581642,0.9390630934609075,0.8693152787477569,0.0023883945545827,0.9965831846453572,DERMASON,1349.0,-6.89997,4.319853,5.867083,SEKER
1472,713.286,0.7491614142422414,0.8055194805194805,0.9887613582018172,0.91917983315605,0.8118444617255753,0.0019306089154244,0.9950239831227228,SIRA,1472.0,-2.2324154,-1.7821443,5.2723904,DERMASON
1660,754.588,0.7321081656597708,0.7845934650455927,0.9901704586320156,0.911487342712669,0.8247606399619629,0.0019214908437225,0.998593216029184,SEKER,1660.0,-3.9517548,-0.39174384,3.6635826,SIRA
1747,750.263,0.6943074273743568,0.7553304210428479,0.9881325843243112,0.907113632179944,0.8474528646328405,0.0021015611635186,0.9979127083516008,DERMASON,1747.0,-4.746431,2.5619383,3.489018,SIRA
1833,791.457,0.7755122258398601,0.707135991515031,0.984313725490196,0.8560080676280591,0.7931304240686567,0.001681153345326,0.9963938505379702,HOROZ,1833.0,2.205651,1.8429246,-1.0019997,SIRA
2145,773.977,0.7615306467239756,0.7452111190500493,0.9911754723384998,0.9189194384077816,0.8043626418125359,0.0017307273438671,0.9982570707275948,SEKER,2145.0,-2.509157,1.3171961,0.4882426,SIRA
2602,720.9789999999999,0.7402208780748009,0.786434539243528,0.9890269151138716,0.9238678664392688,0.8186664590305499,0.0019535889976213,0.9968038014751928,SIRA,2602.0,-2.973668,-0.57269484,4.646415,DERMASON
2631,835.917,0.8035437968488544,0.7181834288076537,0.989121372943736,0.8748081667608408,0.7701262108558549,0.0014414709552758,0.9963859376796506,SEKER,2631.0,-0.47808722,0.54911846,-3.6947503,SIRA
2820,748.438,0.8063711433111614,0.6615544442879279,0.9864261709724848,0.8428512969157018,0.7656406284503947,0.0016116968532711,0.9912002620217067,DERMASON,2820.0,3.7497206,1.6303579,-3.1096988,HOROZ
