,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,y,y_pred
88,36519.0,695.7,250.85449243867316,185.585481241225,1.351692442538709,0.672812256163485,36856.0,215.6326388425078,0.7333721584062977,0.9908563056218798,0.948166777267802,0.8595924942234148,0.0068691500982686,0.0023134132981029,0.7388992561252316,0.9987645403019492,DERMASON,SEKER
131,42008.0,759.454,280.3327165874974,191.21813607084417,1.4660362366655286,0.73124829282548,42419.0,231.2709380688259,0.7117104906478721,0.9903109455668452,0.9152482804202392,0.8249873253614395,0.0066733173821057,0.0019068241710891,0.6806040870070217,0.9977902543749524,DERMASON,SIRA
216,76659.0,1082.9679999999998,413.46070911993735,236.6985344156365,1.7467818723115165,0.8199177599099804,77624.0,312.41842176775174,0.7675648073052777,0.9875682778522108,0.8213755396004842,0.7556181636527037,0.0053935051216417,0.0010845770595921,0.5709588092418842,0.9973404978202924,CALI,BARBUNYA
330,42693.0,787.181,309.57524713157386,177.28524222076635,1.746198630262027,0.8197842186624185,43246.0,233.1489135367744,0.8104983388704319,0.9872126901910004,0.8657995010911342,0.7531251794097181,0.0072511945080358,0.0014389907044454,0.5671975358609201,0.9904395602083358,HOROZ,SIRA
360,41292.0,759.156,272.18432677808426,194.33631780585256,1.4005839456627147,0.7001580311602082,41690.0,229.29153338316775,0.7166261714682401,0.9904533461261692,0.9003548845693183,0.8424126991342614,0.0065916963764914,0.0020477483185505,0.7096591556626715,0.9939372203136952,DERMASON,SIRA
424,61918.0,960.372,353.1381441571403,224.0962376757782,1.575832543284638,0.7728529172555758,62627.0,280.77828643061383,0.753920709136957,0.9886790042633368,0.843621821296101,0.7950947556253578,0.0057033196188045,0.0014059925802685,0.6321756704229473,0.996202994525264,CALI,BARBUNYA
465,53609.0,893.4559999999999,354.7254336862836,193.35432504701396,1.8345875304316697,0.8383829636497789,54085.0,261.26059548601535,0.7953857566765579,0.99119903855043,0.8439199057367944,0.7365149794053735,0.0066169007757332,0.0012010489865726,0.5424543148884976,0.9951799219232924,CALI,HOROZ
605,47974.0,807.211,288.89912162101444,212.4174441833225,1.3600536562886334,0.6777796244435805,48520.0,247.14852603065367,0.7607313321599036,0.9887469084913436,0.9252128413677208,0.8554838264786062,0.0060219936136451,0.0019896068458641,0.731852577366478,0.9953587737115384,SIRA,SEKER
655,36644.0,712.6899999999999,260.2830362841368,179.7242829175725,1.448235219297056,0.7233366235041687,37039.0,216.00136545233988,0.8101344181110718,0.9893355652150436,0.9065910102527373,0.8298710839401112,0.0071030192196304,0.002078094446009,0.6886860159599354,0.9973793433505528,SIRA,DERMASON
866,38760.0,738.594,271.1452449338988,182.28295998875225,1.4874963899567455,0.7403055600528147,39191.0,222.1503201751798,0.7204594880945743,0.9890025771222984,0.8928573575569526,0.819303765512601,0.0069954913553637,0.0019443649804774,0.6712586601831272,0.9984948337496036,SIRA,DERMASON
881,41759.0,775.473,304.297520336161,175.56089236456876,1.7332876145574525,0.8167877352693219,42315.0,230.584496765493,0.7173606816463959,0.9868604513765804,0.8726228708365928,0.7577600254867789,0.0072869925126598,0.0014820226801842,0.574200256225724,0.9952541923917628,DERMASON,SIRA
960,65383.0,955.639,354.5772588140975,235.08706936952413,1.5082805692590069,0.7486135343433531,65965.0,288.52767831426354,0.7166595420516699,0.9911771393921018,0.8996777443941494,0.813723021265548,0.0054230802932581,0.0014666693251675,0.6621451553375314,0.9987006718245852,CALI,BARBUNYA
1022,41451.0,757.6039999999999,282.6748516136324,187.29389244018807,1.5092582461219557,0.7489936877528587,41897.0,229.73256706182784,0.7186373092926491,0.9893548464090508,0.9075286794126828,0.8127096052245655,0.0068194941403978,0.001835158137105,0.6604969024242692,0.9968603965218368,DERMASON,SIRA
1082,73078.0,1012.867,378.1351804666314,246.9440569553456,1.531258476631446,0.757308232431931,73829.0,305.0340955535236,0.7902374670184696,0.989827845426594,0.8951414620301901,0.806680021618463,0.0051744051625199,0.0013515913363535,0.650732657278364,0.9964398974784006,BARBUNYA,CALI
1118,57371.0,905.5739999999998,352.9530276718648,209.0918516720492,1.6880286096727246,0.805638828187442,58240.0,270.2721330825674,0.6749211801797562,0.9850789835164836,0.8791326184435103,0.7657453312281414,0.0061521156624752,0.0013047932004868,0.586365912297696,0.9898024356953584,HOROZ,SIRA
1145,51643.0,855.523,307.9956111565151,213.62472630489037,1.4417601205814368,0.7203635729518909,52139.0,256.4252518937205,0.7860665469268471,0.9904869675291048,0.886661696869877,0.8325613827120805,0.0059639372452513,0.0017675751165043,0.6931584559834514,0.9993682190807434,CALI,SEKER
1157,63064.0,972.177,364.0969279252625,222.1178333514033,1.6392061926393815,0.792361857804675,64230.0,283.3647448945939,0.7339851024208566,0.9818464891795112,0.8384954168822927,0.7782673325734835,0.0057734512229681,0.0013065633441168,0.6057000409510453,0.9928672580088804,CALI,BARBUNYA
1297,33206.0,680.4229999999999,260.0898266204468,163.10271955282377,1.5946381969198986,0.778937553866553,33583.0,205.6190465946086,0.7526633120268371,0.9887740821248846,0.9012981024646556,0.7905693554660703,0.0078326153894009,0.0018873240238528,0.6249999058020378,0.996648722863268,SIRA,DERMASON
1349,36654.0,700.355,248.5068900483816,188.44278094462288,1.318739241708652,0.6519057232718334,37009.0,216.030836393147,0.7557525773195877,0.9904077386581642,0.9390630934609075,0.8693152787477569,0.0067798027513608,0.0023883945545827,0.7557090538642905,0.9965831846453572,DERMASON,SEKER
1472,37215.0,713.286,268.127425769337,177.60425022839132,1.5096903673450202,0.7491614142422414,37638.0,217.67776564757156,0.8055194805194805,0.9887613582018172,0.91917983315605,0.8118444617255753,0.0072048213292848,0.0019306089154244,0.6590914300344892,0.9950239831227228,SIRA,DERMASON
1616,37237.0,724.1549999999999,264.8154251213935,179.9112388819666,1.471922636779404,0.7337833578571182,37732.0,217.7420972786458,0.7457990346291734,0.9868811618785116,0.8923217553533375,0.8222409898472911,0.0071116208373766,0.0020051406854087,0.6760802453850532,0.995137817461634,DERMASON,SIRA
1660,41301.0,754.588,278.04008713558454,189.3976815774003,1.4680226538145829,0.7321081656597708,41711.0,229.31652020102464,0.7845934650455927,0.9901704586320156,0.911487342712669,0.8247606399619629,0.0067320424962006,0.0019214908437225,0.6802301132304668,0.998593216029184,SEKER,SIRA
